index,album,artist,genre
10477823,When I Need You '96,Leo Sayer,Reggae
10481510,Psalms for I,Prince Far I,Reggae
10481511,Voice of Thunder,Prince Far I,Reggae
10483323,Graffiti Bridge,Prince,R&B;
10487573,Endless Journey the Essential,Leo Sayer,Pop/Rock
10488361,5 Star General,DJ Green Lantern feat. Eminem,Pop/Rock
10488694,"Right Place, Wrong Time",Otis Rush,Blues
10489663,Before the Willennium,DJ Jazzy Jeff & The Fresh Prince,Rap
10490998,Forgot About Dre,Dr. Dre feat. Eminem,Rap
10491630,Les Mystérieuses Cités d'Or,Shuki Levy & Haim Saban,Rap
10494744,Switch,Will Smith,Rap
10496307,The Everlasting Love (New and Best),U2,Pop/Rock
10499507,No More Workhorse Blues,"Bonnie ""Prince"" Billy",Pop/Rock
10503008,The Hits/The B-Sides,Prince,Pop/Rock
10504480,Lost and Found,Will Smith,Rap
10509865,Any Place I'm Going,Otis Rush,Blues
10511855,Make Believe,Weezer,Pop/Rock
10512229,Trolling for Owls,Tom Rush,Folk
10512624,Washington DC Demo,Weezer,Folk
10513477,X&Y,Coldplay,Pop/Rock
10514258,7,Prince & The New Power Generation,R&B;
10515574,Itstrumental,Prince Paul,Rap
10515777,The Slaughterhouse,Prince & The New Power Generation,Pop/Rock
10516297,Moorish Music From Mauritania,Khalifa Ould Eide feat. Dimi Mint Abba,Pop/Rock
10521548,Monkey Barz,Sean Price,Rap
10526806,12 Inch: Volume 1 1976-1988 (disc 3),The Revolution,Pop/Rock
10526978,Just the Two of Us,Will Smith,R&B;
10527557,Ea,Sudden Rush,Rap
10528083,Rock The House,DJ Jazzy Jeff & The Fresh Prince,Rap
10528651,20 Greatest Hits,Leo Sayer,Pop/Rock
10529940,Platinum & Gold Collection,DJ Jazzy Jeff & The Fresh Prince,Rap
10531361,Classics,Jennifer Rush,Pop/Rock
10531366,Jennifer Rush '92,Jennifer Rush,Pop/Rock
10533827,In a Thousand Words or Less,Where Eagles Dare,Pop/Rock
10536557,Mahogany Rush IV,Frank Marino & Mahogany Rush,Pop/Rock
10536567,From the Hip,Frank Marino & Mahogany Rush,Pop/Rock
10541180,Hits of the Eagles,Eagles,Pop/Rock
10549426,Upside Down,A*Teens,Pop/Rock
10552138,New World Order,DJ Green Lantern feat. Eminem,Pop/Rock
10553862,The Complete Greatest Hits,Eagles,Pop/Rock
10556798,Love Collection,Leo Sayer,Pop/Rock
10567091,Miami,Will Smith,Rap
10568948,My Name Is Prince,Prince & The New Power Generation,R&B;
10569383,Super Trouper,A*Teens,Pop/Rock
10570138,The Golden Years 1977-1983,Prince Far I,Pop/Rock
10570253,Euphorica,ABBA Dance,Electronic
10571946,Musical History,Prince Far I,Electronic
10572604,"Cry Tuff Dub Encounter, Chapter 2",Prince Far I,Reggae
10572611,Umkhonto We Sizwe (Spear of the Nation),Prince Far I,Reggae
10576509,The Show Must Go on: The Leo Sayer Anthology,Leo Sayer,Pop/Rock
10577696,Whisper: The String Quartet Tribute to The Cure,The Section Quartet,Country
10577761,DJ Green Lantern Presents: Fort Minor - We Major,DJ Green Lantern feat. Eminem,Country
10581160,Mourning In The Morning,Otis Rush,Blues
10582317,United,Prince Ital Joe feat. Marky Mark,Blues
10582951,Brother Arab,Arabian Prince,Rap
10586873,Freakin' It,Will Smith,Rap
10588459,Hip-Hop Gold Dust,Prince Paul,Rap
10590512,Dancing Queen,A*Teens,Pop/Rock
10590514,...To the Music,A*Teens,Pop/Rock
10590516,Gimme! Gimme! Gimme! (A Man After Midnight),A*Teens,Pop/Rock
10595952,Happy People,Prince Ital Joe feat. Marky Mark,Pop/Rock
10597438,Silver and Gold 1973-1979,Prince Far I,Pop/Rock
10597733,Photograph,Weezer,Pop/Rock
10603657,Can’t Wait to Be With You,DJ Jazzy Jeff & The Fresh Prince,Pop/Rock
10603667,I’m Looking for the One (To Be With Me),DJ Jazzy Jeff & The Fresh Prince,Pop/Rock
10604738,Let's Pretend We're Married / Irresistable Bitch,Prince,Pop/Rock
10604748,Let's Go Crazy / Erotic City,The Revolution,Pop/Rock
10604752,When Doves Cry / 17 Days,The Revolution,Pop/Rock
10604756,Purple Rain / God,The Revolution,Pop/Rock
10607811,Out of the Box,Ed Rush & Optical,Electronic
10608914,The Most Beautiful Girl in the World,Prince,R&B;
10613685,Death by Sexy…,Eagles of Death Metal,Pop/Rock
10616040,Guilty Conscience,Eminem feat. Dr. Dre,Rap
10616820,Raspberry Beret / She’s Always in My Hair,The Revolution,Rap
10616822,America / Girl,The Revolution,Rap
10616823,Pop Life / Hello,The Revolution,Rap
10616826,Kiss / ♥ Or $,The Revolution,Rap
10616827,Mountains / Alexa de Paris,The Revolution,Rap
10617605,Ring My Bell,DJ Jazzy Jeff & The Fresh Prince,Rap
10620378,Halfway Around the World,A*Teens,Pop/Rock
10624060,Superhits,Jennifer Rush,Pop/Rock
10627147,The String Quartet Tribute to Queen,The Section Quartet,Pop/Rock
10629990,Ultimate,Prince,R&B;
10630481,Just a Boy,Leo Sayer,Pop/Rock
10630848,At His Very Best,Leo Sayer,Pop/Rock
10639201,Floorfiller,A*Teens,Pop/Rock
10639867,Afterimage,Rush,Pop/Rock
10645471,I Promised Myself,A*Teens,Pop/Rock
10646792,One,Mary J. Blige feat. U2,R&B;
10648113,Non Stop Remix,ABBA-DJ,R&B;
10648821,"New World Order, Part 2: The Saga Continues",DJ Green Lantern feat. Eminem,R&B;
